,B. Créer des sites web intéractifs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19-manipuler-le-dom-avec-jqueryrecuperer-et-modifier-le-contenu-de-balises-html-text-et-html.md,Manipuler le DOM avec jQuery,,X,,X,,Récupérer et modifier le contenu de balises HTML : text() et html(),Vidéo (screencast),A faire,"http://api.jquery.com/text/

http://api.jquery.com/html/","https://www.lynda.com/fr/jQuery-tutoriels/text-val/193138/343004-4.html

https://www.lynda.com/fr/jQuery-tutoriels/html/193138/343007-4.html",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20-manipuler-le-dom-avec-jquerygerer-les-attributs-de-balises-html-attr-prop-removeattr-et-removeprop.md,Manipuler le DOM avec jQuery,,X,,X,,"Gérer les attributs de balises HTML : attr() , prop() , removeAttr() et removeProp()",Vidéo (screencast),A faire,"http://api.jquery.com/attr/

http://api.jquery.com/prop/

https://stackoverflow.com/questions/5874652/prop-vs-attr
",https://www.lynda.com/fr/jQuery-tutoriels/Attributs-proprietes/193138/343014-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21-manipuler-le-dom-avec-jquerygerer-les-classes-css-addclass-removeclass-toggleclass-hasclass.md,Manipuler le DOM avec jQuery,,X,,X,,"Gérer les classes CSS : addClass() , removeClass() , toggleClass() , hasClass()",Vidéo (screencast),A faire,"https://api.jquery.com/addclass/

https://api.jquery.com/removeclass/

http://api.jquery.com/toggleclass/",https://www.lynda.com/fr/jQuery-tutoriels/addClass-removeClass-toggleClass/193138/343013-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,22-manipuler-le-dom-avec-jquerymanipuler-les-attributs-des-balises.md,Manipuler le DOM avec jQuery,,X,X,,,Manipuler les attributs des balises,QCM,A faire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23-manipuler-le-dom-avec-jqueryrecuperer-et-definir-les-dimensions-d’elements-html-width-height-outerwidth-outerheight.md,Manipuler le DOM avec jQuery,,X,,X,,"Récupérer et définir les dimensions d’éléments HTML : width() , height() , outerWidth() , outerHeight()",Document,A faire,"https://www.w3schools.com/jquery/jquery_dimensions.asp

http://api.jquery.com/height/

http://api.jquery.com/outerheight/

http://api.jquery.com/width/

http://api.jquery.com/outerwidth/",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24-manipuler-le-dom-avec-jqueryrecuperer-la-position-d’elements-html-offset-et-position.md,Manipuler le DOM avec jQuery,,X,,X,,Récupérer la position d’éléments HTML : offset() et position(),Document,A faire,"http://api.jquery.com/offset/

https://api.jquery.com/position/

https://stackoverflow.com/questions/3202008/jquery-difference-between-position-and-offset
",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,25-manipuler-le-dom-avec-jqueryinserer-du-contenu-a-l’interieur-d’elements-html-avec-text-html-insertbefore-insertafter.md,Manipuler le DOM avec jQuery,,X,,X,,"Insérer du contenu à l’intérieur d’éléments HTML avec text(), html(), insertBefore(), insertAfter(), ...",Vidéo (screencast),A faire,"http://api.jquery.com/insertafter/

http://api.jquery.com/insertbefore/

http://api.jquery.com/append/

http://api.jquery.com/after/

http://api.jquery.com/before/

https://jsperf.com/jquerhttp://api.jquery.com/before/-insert-before-insert-after-appendto-html-replace",https://www.lynda.com/fr/jQuery-tutoriels/Autour-avant-apres-etc/193138/343010-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,26-manipuler-le-dom-avec-jquerymaanipuler-la-structure-du-dom.md,Manipuler le DOM avec jQuery,,X,X,,,Maanipuler la structure du DOM,QCM,A faire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,27-reagir-aux-actions-utilisateurs-avec-les-gestionnaires-d’evenementattendre-le-chargement-du-dom-ready.md,Réagir aux actions utilisateurs avec les gestionnaires d’évènement.,,,X,X,,Attendre le chargement du DOM : ready(),Document,A faire,"http://api.jquery.com/ready/

https://learn.jquery.com/using-jquery-core/document-ready/

https://www.w3schools.com/jquery/event_ready.asp

https://blog.lesieur.name/eviter-les-multiples-jquery-document-ready-dans-vos-pages-web/",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,28-reagir-aux-actions-utilisateurs-avec-les-gestionnaires-d’evenementles-evenements-souris.md,Réagir aux actions utilisateurs avec les gestionnaires d’évènement.,,,X,X,,Les évènements souris,Document,A faire,"https://api.jquery.com/category/events/mouse-events/

http://culttt.com/2012/11/28/jquery-mouse-events/
",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,29-reagir-aux-actions-utilisateurs-avec-les-gestionnaires-d’evenementles-evenements-clavier.md,Réagir aux actions utilisateurs avec les gestionnaires d’évènement.,,,X,X,,Les évènements clavier,Document,A faire,"https://api.jquery.com/category/events/keyboard-events/

https://api.jquery.com/event.which/",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,30-reagir-aux-actions-utilisateurs-avec-les-gestionnaires-d’evenementevenements-globaux.md,Réagir aux actions utilisateurs avec les gestionnaires d’évènement.,,,X,X,,Evènements globaux,Document,A faire,"https://www.w3schools.com/jquery/jquery_ref_events.asp

https://openclassrooms.com/courses/un-site-web-dynamique-avec-jquery/jquery-et-les-evenements",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31-reagir-aux-actions-utilisateurs-avec-les-gestionnaires-d’evenementbonnes-pratiques-avec-on-off.md,Réagir aux actions utilisateurs avec les gestionnaires d’évènement.,,,X,X,,"Bonnes pratiques avec on() , off()",Vidéo (screencast),A faire,"https://www.w3schools.com/jquery/event_off.asp

https://www.w3schools.com/jquery/event_on.asp",https://www.lynda.com/fr/jQuery-tutoriels/bind-click-on/193138/343034-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,32-reagir-aux-actions-utilisateurs-avec-les-gestionnaires-d’evenementdeclancher-programmatiquement-des-evenements-avec-trigger.md,Réagir aux actions utilisateurs avec les gestionnaires d’évènement.,,,X,X,,Déclancher programmatiquement des évènements avec trigger(),Document,A faire,"http://api.jquery.com/trigger/

https://www.w3schools.com/jquery/event_trigger.asp

https://openclassrooms.com/courses/simplifiez-vos-developpements-javascript-avec-jquery/plus-loin-dans-la-gestion-evenementielle

https://stackoverflow.com/questions/9584892/can-you-set-event-data-with-jquery-trigger",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33-reagir-aux-actions-utilisateurs-avec-les-gestionnaires-d’evenementmettre-en-oeuvre-la-gestion-et-le-declanchement-d’evenements.md,Réagir aux actions utilisateurs avec les gestionnaires d’évènement.,,X,X,,,Mettre en oeuvre la gestion et le déclanchement d’évènements,TD,A faire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,34-parcourir-le-dom-avec-les-methodes-de-traversingatteindre-les-noeuds-enfants-d’un-element-html-children-et-find.md,Parcourir le DOM avec les méthodes de traversing.,,X,,X,,Atteindre les noeuds enfants d’un élément HTML : children() et find(),Document,A faire,"https://api.jquery.com/children/

https://api.jquery.com/find/

https://sutterlity.gitbooks.io/apprendre-jquery/content/parcourir_le_dom/les_enfants.html

https://www.w3schools.com/jquery/jquery_traversing_descendants.asp",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,35-parcourir-le-dom-avec-les-methodes-de-traversingatteindre-les-noeuds-parents-d’un-element-html-parent-et-parents.md,Parcourir le DOM avec les méthodes de traversing.,,X,,X,,Atteindre les noeuds parents d’un élément HTML : parent() et parents(),Document,A faire,"http://api.jquery.com/parent/

http://api.jquery.com/parents/

http://api.jquery.com/parentsUntil/

http://api.jquery.com/closest/

https://sutterlity.gitbooks.io/apprendre-jquery/content/parcourir_le_dom/les_parents.html",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,36-parcourir-le-dom-avec-les-methodes-de-traversingatteindre-les-noeuds-freres-d’un-element-html-next-et-prev.md,Parcourir le DOM avec les méthodes de traversing.,,X,,X,,Atteindre les noeuds frères d’un élément HTML : next() et prev(),Document,A faire,"http://api.jquery.com/siblings/

http://api.jquery.com/next/

http://api.jquery.com/nextAll/

http://api.jquery.com/nextUntil/

http://api.jquery.com/prev/

http://api.jquery.com/prevAll/

http://api.jquery.com/prevUntil/

https://sutterlity.gitbooks.io/apprendre-jquery/content/parcourir_le_dom/les_freres.html",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,37-parcourir-le-dom-avec-les-methodes-de-traversingrecuperer-un-enfant-d’un-element-html-eq-first-et-last.md,Parcourir le DOM avec les méthodes de traversing.,,X,,X,,"Récupérer un enfant d’un élément HTML : eq(), first() et last()",Document,A faire,"http://api.jquery.com/last/

http://api.jquery.com/first/

http://api.jquery.com/eq/

http://api.jquery.com/filter/

https://sutterlity.gitbooks.io/apprendre-jquery/content/parcourir_le_dom/les_filtres.html",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,38-parcourir-le-dom-avec-les-methodes-de-traversingcontroler-l’etat-d’un-element-html-is-et-has.md,Parcourir le DOM avec les méthodes de traversing.,,X,,X,,Contrôler l’état d’un élément HTML : is() et has(),Document,A faire,"https://api.jquery.com/has/

https://api.jquery.com/has/

",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,39-parcourir-le-dom-avec-les-methodes-de-traversingtraiter-et-filtrer-les-elements-html-d’une-collection-each-map-filter-et-not.md,Parcourir le DOM avec les méthodes de traversing.,,X,,X,,"Traiter et filtrer les éléments HTML d’une collection : each() , map() , filter() et not()",Document,A faire,"https://developer.mozilla.org/fr/docs/Web/JavaScript/Reference/Objets_globaux/Array/filter

http://codeblog.cz/vanilla/filtering.html#filter",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,40-parcourir-le-dom-avec-les-methodes-de-traversingrealiser-une-galerie-d’images.md,Parcourir le DOM avec les méthodes de traversing.,,X,,X,,Réaliser une galerie d’images,EXERCICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,41-interagir-avec-les-elements-de-formulaire-et-gerer-les-erreursles-evenements-de-formulaire.md,Interagir avec les éléments de formulaire et gérer les erreurs.,,X,,X,,Les évènements de formulaire,Document,A faire,"https://api.jquery.com/category/events/form-events/

https://www.w3schools.com/TAGS/ref_eventattributes.asp",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
